cum_prob,code
0.06246,15125261778
0.06433,102128200600
0.08407,71129471385
0.13,11129370702
0.14263,48124021410
0.15661,48128031310
0.15714,113127981102
0.17136,11125161491
0.18096,35124180977
0.19226,86124701383
0.21582,106126050604
0.21801,113125481417
0.22018,103128901029
0.26731,108126521001
0.31198,63126770529
0.32661,36129200712
0.36662,121127290750
0.39771,108123771362
0.41392,121123922997
0.42407,81124281342
0.42847,24128161735
0.43833,41125731733
0.44014,93129070519
0.44681,105124432072
0.45058,93128880743
0.45585,28126601832
0.46659,38128550787
0.47354,122123741601
0.49661,118125791050
0.50261,25124452544
0.51592,29124731009
0.52646,39126890517
0.55043,97129200521
0.55399,104124682356
0.55759,71128610721
0.57821,108125911711
0.58445,97124302371
0.59176,106128690787
0.59762,111125710927
0.60796,33124773100
0.62589,41127931248
0.65753,44124770804
0.67023,69127010810
0.70405,35124841584
0.7206,38124671690
0.72671,94128531005
0.75403,16126260753
0.76917,88126540958
0.78244,122128041488
0.79352,98125970638
0.80476,33124272457
0.83444,33127900496
0.8405,75129260811
0.85002,27128760757
0.85418,92126841318
0.86948,74125161138
0.87065,115128701550
0.89045,18127182071
0.92774,33123741849
0.93039,108128740855
0.93585,39126691368
0.96029,74127021731
0.97074,32126200973
0.99083,73128381228
0.99418,117126840599
1.0,35129210845
